#{"t_start": 1734366089.1383944, "env_id": "Blackjack-v1"}
r,l,t
1.0,1,2.386799
-1.0,1,2.391753
1.0,1,2.396104
-1.0,1,2.397636
-1.0,2,2.400637
-1.0,1,2.405417
-1.0,1,2.407238
1.0,1,2.408555
-1.0,2,2.414918
-1.0,2,2.417274
1.0,2,2.422119
-1.0,1,2.423753
-1.0,2,2.426276
-1.0,1,2.434401
-1.0,1,2.435647
1.0,3,2.441987
-1.0,1,2.443262
-1.0,1,2.444531
-1.0,2,2.450091
1.0,1,2.451031
0.0,2,2.45267
-1.0,2,2.458056
1.0,1,2.460336
1.0,1,2.462004
-1.0,1,2.466619
-1.0,1,2.468046
-1.0,4,2.475147
1.0,2,2.477246
-1.0,2,2.482488
0.0,1,2.483448
-1.0,2,2.488423
-1.0,2,2.494789
-1.0,3,2.503541
-1.0,1,2.505558
1.0,1,2.506668
-1.0,2,2.512542
-1.0,2,2.515462
-1.0,1,2.519529
-1.0,1,2.521136
-1.0,2,2.523974
-1.0,1,2.527915
1.0,1,2.529956
-1.0,1,2.531186
-1.0,2,2.536406
-1.0,1,2.537431
-1.0,1,2.538871
-1.0,1,2.539801
-1.0,2,2.545463
-1.0,1,2.546667
-1.0,2,2.551776
-1.0,1,2.5532
-1.0,1,2.55477
-1.0,4,2.563447
-1.0,1,2.564488
-1.0,2,2.569951
-1.0,1,2.571013
-1.0,1,2.572078
-1.0,1,2.576142
-1.0,1,2.577403
0.0,1,2.578943
1.0,1,2.579953
-1.0,2,2.585299
-1.0,1,2.586262
1.0,1,2.587525
-1.0,1,2.592727
-1.0,1,2.59381
1.0,2,2.600993
-1.0,2,2.607727
1.0,1,2.608778
-1.0,1,2.609762
-1.0,1,2.614444
-1.0,1,2.615533
0.0,2,2.617898
0.0,3,2.62401
1.0,2,2.628669
-1.0,2,2.630949
-1.0,1,2.632181
-1.0,1,2.636732
-1.0,1,2.638071
-1.0,2,2.640753
-1.0,1,2.645002
1.0,2,2.647272
-1.0,1,2.648283
1.0,1,2.652488
1.0,1,2.653945
-1.0,1,2.655081
1.0,1,2.657104
-1.0,1,2.661143
-1.0,1,2.662797
-1.0,1,2.664649
-1.0,1,2.666129
-1.0,1,2.670589
1.0,3,2.674488
-1.0,1,2.678683
-1.0,1,2.679939
-1.0,1,2.681096
-1.0,1,2.68208
-1.0,1,2.686184
-1.0,1,2.68732
-1.0,1,2.688425
1.0,1,2.68934
-1.0,2,2.694988
1.0,2,2.696803
-1.0,2,2.704904
0.0,1,2.706674
-1.0,1,2.707783
-1.0,1,2.712327
-1.0,1,2.713892
-1.0,1,2.715012
-1.0,1,2.716691
-1.0,3,2.724386
-1.0,1,2.725517
-1.0,1,2.729785
-1.0,1,2.731373
-1.0,2,2.734846
-1.0,2,2.740462
-1.0,1,2.741495
1.0,2,2.74647
-1.0,1,2.748106
1.0,1,2.749345
-1.0,1,2.750526
1.0,1,2.754395
-1.0,3,2.75842
-1.0,1,2.763302
1.0,1,2.764711
-1.0,1,2.766235
-1.0,1,2.76738
1.0,1,2.771461
1.0,1,2.772559
-1.0,1,2.773996
-1.0,1,2.775008
-1.0,3,2.782336
1.0,1,2.784291
0.0,2,2.790066
1.0,1,2.791223
-1.0,1,2.792301
-1.0,2,2.798081
1.0,2,2.800333
-1.0,1,2.809816
-1.0,1,2.811292
-1.0,1,2.812556
0.0,2,2.817614
1.0,1,2.819219
-1.0,1,2.820821
1.0,1,2.822223
-1.0,1,2.82653
-1.0,1,2.827983
-1.0,1,2.82928
-1.0,3,2.836531
-1.0,1,2.837622
-1.0,1,2.838725
-1.0,1,2.842953
-1.0,1,2.844452
-1.0,1,2.845729
-1.0,1,2.847151
-1.0,1,2.852131
-1.0,1,2.853468
-1.0,1,2.854433
1.0,1,2.855276
-1.0,2,2.861962
-1.0,2,2.864464
1.0,1,2.868663
-1.0,2,2.87175
1.0,1,2.873249
-1.0,2,2.87883
-1.0,2,2.88148
-1.0,1,2.886204
-1.0,2,2.888979
-1.0,2,2.894433
-1.0,1,2.895609
-1.0,1,2.896748
1.0,1,2.897892
-1.0,1,2.901851
-1.0,2,2.904237
-1.0,1,2.905172
1.0,1,2.913127
-1.0,1,2.914719
1.0,1,2.916042
-1.0,1,2.917732
-1.0,1,2.922416
-1.0,2,2.924525
