neuron,iou,feature_length,best lab,w_nothing,w_left,w_main,w_right
1002,0.5789738430583501,5,(((X Coord Outside Wider Center OR Y Coord Far From Ground) AND Angle Near 0) AND (NOT V_y Upward)),-0.18519269,-0.44650453,-0.2744874,-0.08231473
539,0.5788708504967288,2,(V_x High OR Y Coord Far From Ground),-0.25032118,-0.3945975,-0.20542194,-0.26852298
493,0.569810799613313,4,(((Left Leg reach ground OR Y Coord Far From Ground) OR X Coord Outside Wider Center) OR Angular Velocity High),-0.23834342,-0.20490734,-0.21010877,-0.31832322
553,0.5418848167539267,5,(((Angular Velocity Low AND V_y High) OR V_x High) AND (NOT V_y Upward)),-0.36527872,-0.3538805,-0.4002571,-0.35548452
369,0.5322354590049054,4,(((NOT Right Leg reach ground) AND Y Coord Near Ground) AND V_x Low),0.43994993,0.22582787,0.48943672,0.40623572
307,0.5269346458846048,2,(Angle Near 0 AND Y Coord Far From Ground),-0.15022777,-0.33467454,-0.10838935,-0.1272679
405,0.5153342070773264,6,(((Angle Near 0 OR Angular Velocity High) AND (NOT Right Leg reach ground)) AND (NOT Left Leg reach ground)),-0.3175014,-0.08469817,-0.76036656,-0.32455662
166,0.5119860720503548,7,(((((NOT Right Leg reach ground) AND Angle Near 0) AND (NOT V_y Upward)) OR V_x High) OR X Coord Outside Wider Center),-0.06596763,-0.260792,-0.15265545,-0.22286406
711,0.4881010199125789,3,((NOT X Coord Outside Wider Center) AND Right Leg reach ground),-0.17196588,-0.1517648,0.22468022,-0.2719574
800,0.4850777637662883,5,(((NOT X Coord Outside Wider Center) AND (V_y High AND Y Coord Far From Ground)) AND Angular Velocity Low),-0.19556116,-0.15120977,-0.18085778,-0.24549752
543,0.4804055905727596,5,((((NOT Left Leg reach ground) AND V_x Low) OR Y Coord Far From Ground) AND V_y Low),-0.61817247,-0.66517484,-0.54965293,-0.38439542
630,0.4714101856959,7,((((V_y Low AND Y Coord Near Ground) OR V_y Upward) AND (NOT V_y High)) AND (NOT Right Leg reach ground)),0.6184295,0.21151593,0.24359971,0.4040131
573,0.4622641509433962,3,((NOT Y Coord Far From Ground) AND V_x High),-0.28306213,-0.15195303,-0.2683592,-0.33668405
989,0.4566473988439306,4,((Left Leg reach ground AND V_x Low) AND (NOT X Coord Outside Wider Center)),-0.6378899,-0.3627068,-0.6720625,-0.057309005
783,0.4545586316857515,6,((((NOT V_y High) AND (X Coord Outside Wider Center OR Y Coord Near Ground)) AND V_x Low) OR Left Leg reach ground),-0.42752424,-0.25270885,-0.36112154,-0.33237657
192,0.453690036900369,6,((((NOT Right Leg reach ground) AND Y Coord Near Ground) AND (NOT V_y High)) AND V_x Low),-0.29266018,-0.4708976,-0.08724198,-0.38097367
71,0.4535310734463277,5,(((NOT Right Leg reach ground) AND V_y Low) AND (NOT Left Leg reach ground)),-0.4287028,-0.29606333,-0.3537408,-0.397155
1014,0.444398511781728,4,((NOT X Coord Outside Wider Center) AND (V_y High AND V_y Low)),-0.2606312,-0.20834659,-0.19086152,-0.33399856
304,0.4418912947414936,4,(((NOT Left Leg reach ground) AND V_y Low) AND Angle Near 0),0.41800055,0.29276365,0.3671063,0.45329818
173,0.4381840291852452,4,(((V_y High AND V_y Low) OR X Coord Outside Wider Center) AND Angle Near 0),-0.23591332,-0.27159816,-0.221955,-0.25721022
254,0.4344211822660098,6,((((Large Angle OR Y Coord Near Ground) AND (NOT Left Leg reach ground)) OR X Coord Outside Wider Center) OR Angular Velocity High),-0.3651448,-0.37055597,-0.10606574,-0.18650593
924,0.4225419664268585,7,(((((NOT V_y High) AND Y Coord Far From Ground) OR V_x High) AND (NOT V_y High)) OR X Coord Outside Wider Center),-0.37706625,-0.36538628,-0.10040256,-0.3822243
662,0.4204152249134948,6,(((NOT V_y Low) AND (V_x High AND Y Coord Near Ground)) AND (NOT V_y High)),0.4152327,0.39562377,0.099035114,-0.0043689297
614,0.4192825112107623,4,((NOT Y Coord Far From Ground) AND (V_x High OR X Coord Outside Wider Center)),-0.32778883,-0.20782954,-0.26403064,-0.5125538
140,0.4153303399615138,5,(((V_y High OR X Coord Outside Wider Center) AND Angle Near 0) AND (NOT V_y Upward)),-0.41703036,-0.27319366,-0.0016903356,-0.3207493
992,0.4072032341051084,5,(((NOT X Coord Outside Wider Center) AND (V_x High OR Y Coord Near Ground)) OR Large Angle),0.1553414,-0.1422473,-0.300955,0.20200914
464,0.4011774600504625,3,((Left Leg reach ground AND V_y Low) AND Right Leg reach ground),-0.2331832,-0.11812411,-0.28114098,-0.21496908
442,0.3970355446826881,5,(((V_y Low OR Y Coord Far From Ground) OR Large Angle) AND (NOT V_y High)),0.49073896,0.31379735,0.6796819,0.6663682
609,0.3963826264170169,7,((((Angle Near 0 OR Angular Velocity High) AND (NOT Left Leg reach ground)) AND (NOT Right Leg reach ground)) OR X Coord Outside Wider Center),-0.43398565,-0.34857666,-0.4352035,-0.42317677
566,0.3894878706199461,6,((((NOT Left Leg reach ground) AND Large Angle) AND Angular Velocity Low) AND (NOT X Coord Outside Wider Center)),0.24285445,0.13191627,-0.18564476,0.099615596
840,0.3846509477577439,3,((V_x Low AND V_y High) AND Angular Velocity Low),-0.30792117,-1.1880726,-0.29206446,0.09227483
244,0.376427255985267,3,((V_x High OR V_y High) AND V_y Low),-0.20249896,-0.20478259,-0.2548582,-0.16660865
822,0.3713490959666203,7,((((NOT V_y Low) AND (V_x High OR Y Coord Far From Ground)) AND Angle Near 0) AND (NOT X Coord Outside Wider Center)),-0.35875875,-0.45603102,-0.18940507,-0.36883348
581,0.3617458279845956,3,((V_x High OR V_y High) OR X Coord Outside Wider Center),-0.20531623,-0.06456906,-0.12553447,-0.22808053
472,0.3467254993032977,6,((((X Coord In Center AND Y Coord Near Ground) OR V_y Upward) AND (NOT Left Leg reach ground)) AND Angle Near 0),1.0333539,1.0158882,1.1637734,1.106883
280,0.3431045969353764,4,(((V_y High AND X Coord In Center) AND V_x Low) AND Y Coord Far From Ground),-0.068831734,-0.107400894,-0.12912807,-0.19755888
625,0.333634067123782,7,((((Large Angle OR Y Coord Near Ground) AND (NOT Left Leg reach ground)) OR Angular Velocity High) AND (NOT X Coord Outside Wider Center)),-0.27919745,-0.2802029,-0.15006843,0.011399072
258,0.3309417040358744,7,((((NOT Right Leg reach ground) AND Y Coord Near Ground) AND (NOT V_y Upward)) AND (NOT V_y High)),-0.10453307,0.20193957,0.18205097,-0.16308238
554,0.3302804808242702,5,((((Large Angle OR V_y High) AND V_x Low) OR Large Angle) OR X Coord Outside Wider Center),-0.32116276,-0.42241025,-0.17240892,-0.2131347
530,0.3219076005961251,5,(((NOT Y Coord Far From Ground) AND V_x High) AND (NOT V_y Upward)),-0.3033086,-0.3623976,-0.3134621,-0.34548017
841,0.3202741290691033,6,((((Angular Velocity High OR Angular Velocity Low) AND (NOT Left Leg reach ground)) OR V_x High) OR Angular Velocity High),-0.2697794,-0.032297865,-0.16435349,0.005890563
180,0.3186968838526912,5,(((NOT Y Coord Far From Ground) AND V_x High) AND (NOT V_y Upward)),-0.10933467,-0.16648525,-0.19722617,-0.14835583
23,0.308656256024677,4,(((Angle Near 0 AND Y Coord Far From Ground) OR Angular Velocity High) OR X Coord Outside Wider Center),-0.24147081,-0.2888035,-0.15369457,-0.12222902
425,0.2970354582445262,6,((((NOT Left Leg reach ground) AND Y Coord Near Ground) OR X Coord Outside Wider Center) AND (NOT V_y High)),-0.14499302,-0.39028066,-0.107110895,-0.2488618
968,0.2867861609003752,8,(((((NOT X Coord In Center) AND V_y Low) OR Large Angle) AND (NOT V_y High)) AND (NOT Left Leg reach ground)),-0.21238956,-0.17378117,-0.20368038,-0.19517076
505,0.2736943907156673,6,((((NOT Angle Near 0) AND Angular Velocity High) OR X Coord Outside Wider Center) AND (NOT Y Coord Far From Ground)),-0.24580605,-0.3346148,-0.35486916,-0.10169124
782,0.272565584704313,8,(((((NOT Left Leg reach ground) AND Large Angle) AND (NOT Y Coord Far From Ground)) AND (NOT V_y Upward)) OR Angular Velocity High),0.2708401,0.4285524,0.08484617,0.1956494
577,0.2606232294617563,8,(((((NOT X Coord In Center) AND Angle Near 0) AND (NOT V_y High)) AND V_x Low) AND (NOT Right Leg reach ground)),0.0053569796,-0.20967653,-0.1380994,-0.030230427
923,0.2585365853658536,4,(((NOT X Coord In Center) AND V_y High) AND V_x Low),-0.7237262,-0.5005168,-0.84683204,-0.5831134
64,0.2493273542600896,7,((((NOT X Coord In Center) AND Angular Velocity Low) AND (NOT Left Leg reach ground)) AND (NOT V_y Upward)),-0.43296346,-0.87188274,-0.2788341,-0.048585866
739,0.2014814814814814,6,((((Angular Velocity High AND V_y Low) AND Angle Near 0) AND Y Coord Near Ground) AND (NOT Right Leg reach ground)),-0.13790232,-0.41696963,-0.05866741,-0.23892885
393,0.1902439024390244,5,(((NOT Angle Near 0) AND Angular Velocity High) AND (NOT Y Coord Far From Ground)),-0.38847604,-0.13447975,-0.32848665,-0.22170295
57,0.1597387173396674,3,((V_y High AND X Coord In Center) AND V_x Low),-0.034036797,-0.106890015,0.28642714,-0.1760382
909,0.1293418647166362,4,((NOT X Coord Outside Wider Center) AND (V_x Low AND V_y High)),-0.48565605,-0.36124614,-0.53883255,-0.831681
